feature,coef_early,std_err_early,p_value_early,coef_late,std_err_late,p_value_late,diff,p_value_diff,pos_group,n_early,n_late,q_value_diff
z_height_in,0.148829,0.201083,0.459215,0.00951996,0.209491,0.963754,-0.139309,0.631406,QB,132,147,0.952157
z_weight_lb,0.289092,0.177578,0.103531,0.143934,0.20692,0.486677,-0.145158,0.594481,QB,132,147,0.952157
z_forty,0.0890331,0.191579,0.642122,-0.127815,0.167342,0.444988,-0.216848,0.393947,QB,132,147,0.952157
z_vertical,0.228529,0.183442,0.212844,-0.524712,0.221757,0.0179738,-0.753242,0.00886376,QB,132,147,0.30654
z_broad,0.136265,0.191056,0.475709,0.404601,0.207053,0.0506898,0.268336,0.34087,QB,132,147,0.952157
z_cone,0.244911,0.159787,0.12534,0.24079,0.134467,0.0733412,-0.00412142,0.984255,QB,132,147,0.984255
z_shuttle,0.00453563,0.169686,0.978675,0.123147,0.131931,0.350601,0.118612,0.58106,QB,132,147,0.952157
vertical_missing,0.0358098,0.458863,0.937796,1.64683,0.936887,0.0787865,1.61102,0.122521,QB,132,147,0.887735
broad_missing,1.05028,0.550863,0.0565708,-1.43573,0.947128,0.129549,-2.48601,0.0232721,QB,132,147,0.588452
agility_missing,0.0837001,0.460931,0.855905,0.781972,0.469791,0.0960102,0.698272,0.288707,QB,132,147,0.952157
age_at_draft,-0.385737,0.19116,0.043604,-0.84317,0.135846,5.40778e-10,-0.457433,0.0511085,QB,132,147,0.816464
power_conf,0.0566428,0.271079,0.834485,-0.0502559,0.280052,0.857583,-0.106899,0.783879,QB,132,147,0.965569
fbs,0.979656,0.377258,0.00941014,-0.117129,0.695443,0.86625,-1.09679,0.165665,QB,132,147,0.952157
draft_year_c,-0.0476539,0.453362,0.916287,0.489161,0.478486,0.306634,0.536815,0.415417,QB,132,147,0.952157
z_height_in,-0.0348037,0.0797399,0.662499,-0.0473805,0.0693865,0.494702,-0.0125767,0.905289,RB,257,256,0.976558
z_weight_lb,0.188471,0.0997898,0.0589344,0.237425,0.0801975,0.00307142,0.0489534,0.702178,RB,257,256,0.952157
z_forty,0.358204,0.0871171,3.92665e-05,0.221761,0.0670931,0.00094884,-0.136443,0.214657,RB,257,256,0.952157
z_bench,-0.00279811,0.0472611,0.952789,-0.0419291,0.052486,0.42437,-0.039131,0.579552,RB,257,256,0.952157
z_vertical,0.0630567,0.0656403,0.336734,0.0888745,0.105256,0.398468,0.0258178,0.835127,RB,257,256,0.966466
z_broad,0.0978055,0.0682347,0.151752,-0.0313731,0.103819,0.762508,-0.129179,0.298439,RB,257,256,0.952157
z_cone,0.145502,0.0644351,0.023938,0.00859479,0.0747309,0.908437,-0.136908,0.165298,RB,257,256,0.952157
z_shuttle,-0.197332,0.0625775,0.00161376,0.0520651,0.0616318,0.398235,0.249398,0.00451854,RB,257,256,0.266594
bench_missing,0.176731,0.137533,0.198791,0.087581,0.126365,0.48826,-0.0891499,0.633134,RB,257,256,0.952157
vertical_missing,0.247954,0.770277,0.747527,-0.378592,0.37823,0.316847,-0.626546,0.46531,RB,257,256,0.952157
broad_missing,0.0646409,0.744077,0.930772,0.561138,0.348341,0.107204,0.496497,0.54563,RB,257,256,0.952157
agility_missing,-0.0270637,0.12081,0.822744,0.0510965,0.102872,0.619402,0.0781602,0.62231,RB,257,256,0.952157
age_at_draft,-0.241736,0.0553584,1.26116e-05,-0.278358,0.0578711,1.50955e-06,-0.0366222,0.647462,RB,257,256,0.952157
power_conf,0.0366871,0.12911,0.776293,0.122097,0.158302,0.440536,0.0854094,0.675869,RB,257,256,0.952157
fbs,0.34874,0.147617,0.0181544,-0.016206,0.18634,0.930695,-0.364945,0.124746,RB,257,256,0.887735
draft_year_c,-0.412313,0.159491,0.00973289,-0.0621821,0.146164,0.670526,0.350131,0.105564,RB,257,256,0.887735
z_height_in,0.0723736,0.074628,0.332151,0.00123592,0.0661798,0.9851,-0.0711376,0.475726,WR,341,389,0.952157
z_weight_lb,0.109393,0.0741942,0.140369,0.125795,0.071588,0.0788815,0.016402,0.873599,WR,341,389,0.966466
z_forty,0.215839,0.0537223,5.87736e-05,0.212238,0.0469828,6.26174e-06,-0.00360134,0.959755,WR,341,389,0.983292
z_bench,0.0538369,0.0456798,0.238569,0.00928344,0.0472562,0.844259,-0.0445534,0.497851,WR,341,389,0.952157
