pos_group,target,group,n,full_r2,delta_r2,partial_r2,f_stat,p_value,q_value
QB,log_pick,size,279,0.278793,0.0170709,0.0231225,3.11259,0.0461287,0.0702709
QB,log_pick,speed,279,0.278793,0.000153125,0.000212273,0.0558397,0.813381,0.818401
QB,log_pick,explosion,279,0.278793,0.00717517,0.00985082,1.30827,0.27204,0.314486
QB,log_pick,agility,279,0.278793,0.0297712,0.0396432,5.42828,0.00489653,0.010103
QB,log_pick,skipped_drills,279,0.278793,0.0743941,0.0935067,6.78225,3.28979e-05,0.000119163
QB,log_pick,age,279,0.278793,0.112659,0.135105,41.083,6.71428e-10,4.75838e-09
QB,log_pick,school_tier,279,0.278793,0.00294973,0.00407333,0.537834,0.584653,0.610887
QB,draft_capital,size,477,0.194882,0.0582976,0.0675198,16.7264,9.69953e-08,4.65007e-07
QB,draft_capital,speed,477,0.194882,0.00709733,0.00873824,4.07266,0.0441602,0.0679067
QB,draft_capital,explosion,477,0.194882,0.000868298,0.00107731,0.249128,0.779585,0.78927
QB,draft_capital,agility,477,0.194882,0.0186685,0.0226619,5.35628,0.00501601,0.0102201
QB,draft_capital,skipped_drills,477,0.194882,0.0664224,0.0762126,9.52877,2.0738e-07,9.658e-07
QB,draft_capital,school_tier,477,0.194882,0.0177084,0.0215214,5.08079,0.00656684,0.0128963
RB,log_pick,size,513,0.297384,0.0237925,0.0327537,8.38104,0.000263288,0.000739931
RB,log_pick,speed,513,0.297384,0.0542246,0.071646,38.2018,1.33436e-09,9.06255e-09
RB,log_pick,strength,513,0.297384,0.000239886,0.000341301,0.169002,0.681178,0.707211
RB,log_pick,explosion,513,0.297384,0.0110375,0.0154662,3.88801,0.0211146,0.0374095
RB,log_pick,agility,513,0.297384,0.00638151,0.00900075,2.24792,0.106696,0.141533
RB,log_pick,skipped_drills,513,0.297384,0.0328654,0.0446856,4.6308,0.00038568,0.00106552
RB,log_pick,age,513,0.297384,0.0787943,0.100836,55.5113,4.17138e-13,6.18123e-12
RB,log_pick,school_tier,513,0.297384,0.00559418,0.00789904,1.97058,0.140468,0.180286
RB,draft_capital,size,901,0.238807,0.0479951,0.0593126,27.8692,1.83162e-12,2.48795e-11
RB,draft_capital,speed,901,0.238807,0.0977953,0.113849,113.573,4.95499e-25,4.03832e-23
RB,draft_capital,strength,901,0.238807,0.000381201,0.000500543,0.442702,0.505995,0.538447
