pos_group,target,group,n,full_r2,delta_r2,partial_r2,f_stat,p_value,q_value
QB,log_pick,size,121,0.496593,0.00180468,0.00357212,0.179246,0.836168,0.886172
QB,log_pick,speed,121,0.496593,1.29959e-06,2.58159e-06,0.00025816,0.987213,0.989755
QB,log_pick,explosion,121,0.496593,0.00394302,0.00777179,0.391633,0.676984,0.774779
QB,log_pick,agility,121,0.496593,0.00788041,0.0154129,0.782708,0.459947,0.58363
QB,log_pick,skipped_drills,121,0.496593,0.0451483,0.0823041,2.24214,0.0697917,0.137852
QB,log_pick,age,121,0.496593,0.120374,0.192975,23.9119,3.85623e-06,3.06469e-05
QB,log_pick,school_tier,121,0.496593,0.00636701,0.0124899,1.26478,0.26344,0.375277
QB,log_pick,production,121,0.496593,0.152155,0.232099,5.03751,0.000149727,0.000753628
QB,draft_capital,size,181,0.382602,0.0178321,0.0280719,2.32505,0.101053,0.181655
QB,draft_capital,speed,181,0.382602,0.000708336,0.00114598,0.184714,0.667928,0.774779
QB,draft_capital,explosion,181,0.382602,0.000368878,0.000597115,0.0480964,0.953056,0.965848
QB,draft_capital,agility,181,0.382602,0.00553483,0.00888512,0.721664,0.487508,0.608378
QB,draft_capital,skipped_drills,181,0.382602,0.0374071,0.0571271,2.43868,0.0491553,0.1119
QB,draft_capital,school_tier,181,0.382602,0.0356868,0.0546435,9.30612,0.00267162,0.0100854
QB,draft_capital,production,181,0.382602,0.213284,0.256758,9.26974,1.00565e-08,2.16932e-07
RB,log_pick,size,211,0.368982,0.0384021,0.0573662,5.72059,0.00387473,0.0132974
RB,log_pick,speed,211,0.368982,0.0340226,0.0511587,10.1364,0.00170158,0.00694427
RB,log_pick,strength,211,0.368982,0.000281771,0.000446336,0.0839486,0.772335,0.839012
RB,log_pick,explosion,211,0.368982,0.00697703,0.0109359,1.03934,0.355712,0.475332
RB,log_pick,agility,211,0.368982,0.00072276,0.00114408,0.107666,0.897982,0.922417
RB,log_pick,skipped_drills,211,0.368982,0.0445194,0.0659023,2.65275,0.0241583,0.0639983
RB,log_pick,age,211,0.368982,0.0727133,0.103325,21.6636,6.12175e-06,4.62192e-05
RB,log_pick,school_tier,211,0.368982,0.0104721,0.0163247,3.11998,0.0789607,0.150925
RB,log_pick,production,211,0.368982,0.0868935,0.121037,4.31472,0.000420894,0.00198609
RB,draft_capital,size,364,0.351444,0.0522352,0.0745374,13.7725,1.76753e-06,1.66811e-05
RB,draft_capital,speed,364,0.351444,0.0547706,0.0778737,28.8819,1.42637e-07,1.95801e-06
RB,draft_capital,strength,364,0.351444,0.00220991,0.00339587,1.16534,0.281121,0.396722
RB,draft_capital,explosion,364,0.351444,0.00367479,0.00563418,0.968904,0.380538,0.497469
RB,draft_capital,agility,364,0.351444,0.00161694,0.00248694,0.426327,0.65325,0.774779
RB,draft_capital,skipped_drills,364,0.351444,0.00953363,0.0144868,1.00547,0.414349,0.530227
RB,draft_capital,school_tier,364,0.351444,0.0220163,0.032832,11.6097,0.000734288,0.0032611
RB,draft_capital,production,364,0.351444,0.126496,0.163209,11.1174,2.4625e-11,1.26885e-09
WR,log_pick,size,327,0.373984,0.00690402,0.0109082,1.67633,0.188783,0.291696
WR,log_pick,speed,327,0.373984,0.0300001,0.0457308,14.5684,0.00016378,0.000797768
WR,log_pick,strength,327,0.373984,0.00266001,0.00423113,1.29173,0.256624,0.372599
WR,log_pick,explosion,327,0.373984,0.00308537,0.00490442,0.749145,0.473641,0.595998
WR,log_pick,agility,327,0.373984,0.0153529,0.0239378,3.72778,0.0251525,0.0654832
WR,log_pick,skipped_drills,327,0.373984,0.0623027,0.0905144,6.05098,2.33635e-05,0.000153387
WR,log_pick,age,327,0.373984,0.0561272,0.0822808,27.256,3.30969e-07,3.84434e-06
WR,log_pick,school_tier,327,0.373984,0.01569,0.0244505,7.61923,0.00612561,0.020108
WR,log_pick,production,327,0.373984,0.081824,0.115597,6.62244,1.35292e-06,1.36194e-05
WR,draft_capital,size,559,0.292026,0.00607703,0.00851063,2.30472,0.100773,0.181655
WR,draft_capital,speed,559,0.292026,0.0541181,0.0710124,41.0486,3.24916e-10,1.22656e-08
WR,draft_capital,strength,559,0.292026,0.00217977,0.00306943,1.65336,0.199056,0.303611
WR,draft_capital,explosion,559,0.292026,0.0024576,0.0034593,0.932046,0.394383,0.508991
WR,draft_capital,agility,559,0.292026,0.00700296,0.00979467,2.65588,0.0711595,0.137852
WR,draft_capital,skipped_drills,559,0.292026,0.0184362,0.0253799,2.79678,0.0166355,0.0465178
WR,draft_capital,school_tier,559,0.292026,0.0300922,0.0407717,22.825,2.29293e-06,2.03666e-05
WR,draft_capital,production,559,0.292026,0.0965558,0.120015,12.2063,6.84517e-13,1.03362e-10
TE,log_pick,size,151,0.4303,0.0238338,0.0401558,2.6984,0.0711129,0.137852
TE,log_pick,speed,151,0.4303,0.0215555,0.0364572,4.88093,0.0289198,0.0740152
TE,log_pick,strength,151,0.4303,0.000445387,0.000781181,0.100851,0.751324,0.831066
TE,log_pick,explosion,151,0.4303,0.0266864,0.0447467,3.02136,0.0521969,0.115908
TE,log_pick,agility,151,0.4303,0.0271489,0.045487,3.07372,0.0496512,0.1119
TE,log_pick,skipped_drills,151,0.4303,0.068818,0.107778,3.11656,0.0108884,0.033554
TE,log_pick,age,151,0.4303,0.0123464,0.0212121,2.79566,0.0969436,0.179637
TE,log_pick,school_tier,151,0.4303,0.00785684,0.0136036,1.77906,0.184615,0.29056
TE,log_pick,production,151,0.4303,0.135997,0.192713,6.1589,3.75677e-05,0.000218181
TE,draft_capital,size,230,0.389573,0.0234374,0.0369754,4.01228,0.0195033,0.0535454
TE,draft_capital,speed,230,0.389573,0.0186703,0.0296778,6.39238,0.0122,0.0368441
TE,draft_capital,strength,230,0.389573,0.00124764,0.0020397,0.427169,0.5141,0.633905
TE,draft_capital,explosion,230,0.389573,0.0204589,0.0324289,3.5024,0.0319053,0.0789788
TE,draft_capital,agility,230,0.389573,0.00596078,0.0096705,1.02044,0.362227,0.479791
TE,draft_capital,skipped_drills,230,0.389573,0.0346687,0.0537419,2.37399,0.040266,0.0950025
TE,draft_capital,school_tier,230,0.389573,0.0195487,0.0310308,6.69314,0.0103566,0.0325803
TE,draft_capital,production,230,0.389573,0.166071,0.213872,11.372,1.02224e-09,3.08716e-08
EDGE,log_pick,size,247,0.371611,0.0677059,0.0972654,12.0136,1.10905e-05,7.61209e-05
EDGE,log_pick,speed,247,0.371611,0.0254371,0.038905,9.02702,0.00296425,0.0109171
EDGE,log_pick,strength,247,0.371611,0.00963184,0.0150964,3.41811,0.0658085,0.136125
EDGE,log_pick,explosion,247,0.371611,0.00223527,0.00354454,0.396623,0.673061,0.774779
EDGE,log_pick,agility,247,0.371611,0.0139865,0.0217731,2.48174,0.0859043,0.162144
EDGE,log_pick,skipped_drills,247,0.371611,0.0167095,0.0259023,1.18596,0.316918,0.434853
EDGE,log_pick,age,247,0.371611,0.101197,0.138704,35.9122,8.21247e-09,2.0668e-07
EDGE,log_pick,school_tier,247,0.371611,0.00607099,0.00956876,2.15445,0.143567,0.249179
EDGE,log_pick,production,247,0.371611,0.0306037,0.0464402,1.5515,0.151196,0.256524
EDGE,draft_capital,size,333,0.29715,0.0836984,0.106412,18.5176,2.52255e-08,4.76132e-07
EDGE,draft_capital,speed,333,0.29715,0.0253502,0.0348121,11.2171,0.000910206,0.00392689
EDGE,draft_capital,strength,333,0.29715,0.00445665,0.00630087,1.972,0.161234,0.270515
EDGE,draft_capital,explosion,333,0.29715,0.0158961,0.0221164,3.51687,0.0308785,0.077711
EDGE,draft_capital,agility,333,0.29715,0.0290718,0.0397198,6.4319,0.00183184,0.00727916
EDGE,draft_capital,skipped_drills,333,0.29715,0.020612,0.0284908,1.8241,0.107776,0.189234
EDGE,draft_capital,school_tier,333,0.29715,0.0170406,0.0236711,7.54021,0.00638498,0.0205134
EDGE,draft_capital,production,333,0.29715,0.0437761,0.0586319,3.22837,0.00431678,0.0144852
IDL,log_pick,size,185,0.299607,0.0538573,0.0714051,6.26701,0.00238695,0.00924179
IDL,log_pick,speed,185,0.299607,0.0253956,0.0349904,5.91024,0.016137,0.0459753
IDL,log_pick,strength,185,0.299607,0.00590813,0.00836489,1.37498,0.242669,0.362802
IDL,log_pick,explosion,185,0.299607,0.0376331,0.0509915,4.37911,0.0140447,0.0407836
IDL,log_pick,agility,185,0.299607,0.00493039,0.00699025,0.573716,0.564562,0.68749
IDL,log_pick,skipped_drills,185,0.299607,0.0285149,0.03912,1.32723,0.255129,0.372599
IDL,log_pick,age,185,0.299607,0.0994701,0.124359,23.1493,3.39255e-06,2.84597e-05
IDL,log_pick,school_tier,185,0.299607,0.000423333,0.000604057,0.0985209,0.754013,0.831066
IDL,log_pick,production,185,0.299607,0.0324482,0.0442772,1.51031,0.189313,0.291696
IDL,draft_capital,size,255,0.227245,0.0718337,0.0850517,10.8761,3.04367e-05,0.000191498
IDL,draft_capital,speed,255,0.227245,0.0544699,0.0658466,16.4942,6.66029e-05,0.000372483
IDL,draft_capital,strength,255,0.227245,0.00618337,0.0079382,1.8724,0.172513,0.280101
IDL,draft_capital,explosion,255,0.227245,0.0101821,0.013005,1.54163,0.216198,0.326459
IDL,draft_capital,agility,255,0.227245,0.000950717,0.00122878,0.143945,0.866012,0.901847
IDL,draft_capital,skipped_drills,255,0.227245,0.00806517,0.0103291,0.488447,0.784739,0.846397
IDL,draft_capital,school_tier,255,0.227245,0.000561657,0.000726296,0.170077,0.680421,0.774779
IDL,draft_capital,production,255,0.227245,0.0303564,0.0377985,1.83846,0.106156,0.188584
LB,log_pick,size,213,0.386509,0.0487144,0.0735639,7.6229,0.000652058,0.00298366
LB,log_pick,speed,213,0.386509,0.0682726,0.100141,21.3668,6.94947e-06,4.997e-05
LB,log_pick,strength,213,0.386509,0.000283067,0.000461191,0.0885896,0.7663,0.838487
LB,log_pick,explosion,213,0.386509,0.0026791,0.00434798,0.419229,0.658154,0.774779
LB,log_pick,agility,213,0.386509,0.00901992,0.0144896,1.41145,0.246307,0.364632
LB,log_pick,skipped_drills,213,0.386509,0.0348036,0.0536849,2.17845,0.0581821,0.126458
LB,log_pick,age,213,0.386509,0.0575204,0.0857219,18.0018,3.43104e-05,0.000207235
LB,log_pick,school_tier,213,0.386509,0.00039863,0.00064935,0.124756,0.72432,0.816211
LB,log_pick,production,213,0.386509,0.0161239,0.0256091,1.26154,0.286599,0.397251
LB,draft_capital,size,338,0.349886,0.0592997,0.0835897,14.5031,9.38213e-07,1.01193e-05
LB,draft_capital,speed,338,0.349886,0.097852,0.130824,47.8639,2.5209e-11,1.26885e-09
LB,draft_capital,strength,338,0.349886,0.000342885,0.000527144,0.16772,0.682422,0.774779
LB,draft_capital,explosion,338,0.349886,0.0108934,0.01648,2.66422,0.0712081,0.137852
LB,draft_capital,agility,338,0.349886,0.00787356,0.0119661,1.92566,0.147476,0.253055
LB,draft_capital,skipped_drills,338,0.349886,0.00543975,0.00829796,0.532166,0.751889,0.831066
LB,draft_capital,school_tier,338,0.349886,0.00183748,0.00281844,0.898796,0.343825,0.463549
LB,draft_capital,production,338,0.349886,0.0325939,0.0477421,3.98579,0.00359769,0.0126337
CB,log_pick,size,269,0.265793,0.018864,0.0250495,3.18594,0.0430368,0.0999779
CB,log_pick,speed,269,0.265793,0.0186614,0.0247871,6.30343,0.0126877,0.0375655
CB,log_pick,strength,269,0.265793,0.000122121,0.000166304,0.0412501,0.839222,0.886172
CB,log_pick,explosion,269,0.265793,0.0347426,0.0451819,5.86766,0.00323715,0.0116383
CB,log_pick,agility,269,0.265793,0.0024414,0.0033142,0.412327,0.662561,0.774779
CB,log_pick,skipped_drills,269,0.265793,0.0184897,0.0245646,1.24909,0.286757,0.397251
CB,log_pick,age,269,0.265793,0.0918413,0.111182,31.0221,6.62445e-08,1.00029e-06
CB,log_pick,school_tier,269,0.265793,0.00554891,0.007501,1.87431,0.172221,0.280101
CB,log_pick,production,269,0.265793,0.0260742,0.0342954,2.20183,0.0693536,0.137852
CB,draft_capital,size,394,0.202439,0.0121905,0.0150547,2.85825,0.0586229,0.126458
CB,draft_capital,speed,394,0.202439,0.0597736,0.0697202,28.0296,2.04187e-07,2.56936e-06
CB,draft_capital,strength,394,0.202439,0.000899835,0.00112696,0.421959,0.51636,0.633905
CB,draft_capital,explosion,394,0.202439,0.0284811,0.034479,6.67781,0.00141399,0.00593088
CB,draft_capital,agility,394,0.202439,0.00217954,0.00272531,0.511025,0.600299,0.725161
CB,draft_capital,skipped_drills,394,0.202439,0.0161344,0.0198286,1.51318,0.184727,0.29056
CB,draft_capital,school_tier,394,0.202439,0.011175,0.0138179,5.24029,0.0226262,0.06101
CB,draft_capital,production,394,0.202439,0.0223811,0.0272959,2.62379,0.0345171,0.084066
S,log_pick,size,204,0.255917,0.000409728,0.000550346,0.0501091,0.951139,0.965848
S,log_pick,speed,204,0.255917,0.0669058,0.0824991,16.3649,7.71114e-05,0.000415851
