feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
z_height_in,0.0631718,0.138761,0.648925,QB,log_pick,279,0.278793,0.772056
z_weight_lb,0.19547,0.132084,0.138904,QB,log_pick,279,0.278793,0.273374
z_forty,0.0299109,0.120608,0.804135,QB,log_pick,279,0.278793,0.873937
z_vertical,-0.12365,0.138497,0.371962,QB,log_pick,279,0.278793,0.533435
z_broad,0.243772,0.139746,0.0810903,QB,log_pick,279,0.278793,0.195441
z_cone,0.310346,0.086818,0.000350663,QB,log_pick,279,0.278793,0.00233084
z_shuttle,0.0272353,0.0976174,0.780245,QB,log_pick,279,0.278793,0.864343
forty_missing,0.0546997,0.340123,0.872233,QB,log_pick,279,0.278793,0.906534
vertical_missing,0.507772,0.442539,0.251214,QB,log_pick,279,0.278793,0.404126
broad_missing,0.395513,0.463301,0.393279,QB,log_pick,279,0.278793,0.559666
agility_missing,0.156526,0.285312,0.583271,QB,log_pick,279,0.278793,0.734049
age_at_draft,-0.584917,0.120903,1.31203e-06,QB,log_pick,279,0.278793,1.4278e-05
power_conf,0.119257,0.189266,0.528627,QB,log_pick,279,0.278793,0.682555
fbs,0.29079,0.393074,0.459431,QB,log_pick,279,0.278793,0.6204
draft_year_c,-0.09059,0.150346,0.546812,QB,log_pick,279,0.278793,0.697656
z_height_in,0.601663,0.148399,5.0273e-05,QB,drafted,477,0.145879,0.000546718
z_weight_lb,0.0957961,0.165978,0.563832,QB,drafted,477,0.145879,0.700762
z_forty,0.0694963,0.146016,0.634111,QB,drafted,477,0.145879,0.752117
z_vertical,0.229505,0.155964,0.141148,QB,drafted,477,0.145879,0.318162
z_broad,-0.19655,0.164473,0.232075,QB,drafted,477,0.145879,0.416299
z_cone,0.083839,0.136504,0.539093,QB,drafted,477,0.145879,0.681128
z_shuttle,0.354666,0.13577,0.00899463,QB,drafted,477,0.145879,0.0539678
forty_missing,1.27769,0.500098,0.0106226,QB,drafted,477,0.145879,0.0611765
vertical_missing,0.613306,0.674567,0.363252,QB,drafted,477,0.145879,0.548877
broad_missing,-0.133062,0.656345,0.839345,QB,drafted,477,0.145879,0.912787
agility_missing,0.01486,0.337161,0.964845,QB,drafted,477,0.145879,0.986303
power_conf,0.512331,0.244257,0.0359488,QB,drafted,477,0.145879,0.139002
fbs,1.21407,0.407116,0.00286246,QB,drafted,477,0.145879,0.0207528
draft_year_c,-0.154406,0.181331,0.394484,QB,drafted,477,0.145879,0.558051
