feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
z_height_in,0.0449916,0.2168,0.835599,QB,log_pick,121,0.496593,0.939431
z_weight_lb,0.0511102,0.208948,0.806761,QB,log_pick,121,0.496593,0.939431
z_forty,-0.00340841,0.211565,0.987146,QB,log_pick,121,0.496593,0.995113
z_vertical,-0.175387,0.212267,0.408659,QB,log_pick,121,0.496593,0.69326
z_broad,0.211296,0.253872,0.405242,QB,log_pick,121,0.496593,0.69326
z_cone,0.183383,0.156758,0.24206,QB,log_pick,121,0.496593,0.567455
z_shuttle,-0.00525143,0.144501,0.97101,QB,log_pick,121,0.496593,0.986587
forty_missing,-0.236257,0.506752,0.64106,QB,log_pick,121,0.496593,0.897293
vertical_missing,1.7142,0.792531,0.0305454,QB,log_pick,121,0.496593,0.194003
broad_missing,-1.35344,0.845711,0.10952,QB,log_pick,121,0.496593,0.404899
agility_missing,0.784344,0.608269,0.197235,QB,log_pick,121,0.496593,0.52048
age_at_draft,-0.818939,0.168439,1.16243e-06,QB,log_pick,121,0.496593,5.52152e-05
power_conf,0.41299,0.331761,0.213189,QB,log_pick,121,0.496593,0.547378
final_pass_ypa,0.527437,0.223463,0.0182606,QB,log_pick,121,0.496593,0.144563
final_pass_td_rate,0.137102,0.177814,0.440684,QB,log_pick,121,0.496593,0.721144
final_pass_int_rate,0.0422756,0.147795,0.774846,QB,log_pick,121,0.496593,0.939431
final_pass_cmp_pct,0.104637,0.163137,0.521262,QB,log_pick,121,0.496593,0.798707
final_rush_ypg,-0.242821,0.184735,0.188703,QB,log_pick,121,0.496593,0.50522
college_seasons,-0.262091,0.214676,0.222136,QB,log_pick,121,0.496593,0.562746
draft_year_c,0.447583,0.930639,0.630558,QB,log_pick,121,0.496593,0.894075
z_height_in,0.799473,0.298171,0.00733458,QB,drafted,181,0.332985,0.057401
z_weight_lb,-0.167758,0.346554,0.628333,QB,drafted,181,0.332985,0.832712
z_forty,0.0595553,0.258059,0.817485,QB,drafted,181,0.332985,0.913702
z_vertical,0.90541,0.33325,0.00658947,QB,drafted,181,0.332985,0.0539139
z_broad,-0.652873,0.393415,0.0970149,QB,drafted,181,0.332985,0.334012
z_cone,0.349712,0.263731,0.184834,QB,drafted,181,0.332985,0.462085
z_shuttle,0.039564,0.275635,0.885866,QB,drafted,181,0.332985,0.932402
forty_missing,3.58836,0.932468,0.00011897,QB,drafted,181,0.332985,0.00257182
vertical_missing,-2.9592,1.44632,0.0407547,QB,drafted,181,0.332985,0.229245
broad_missing,1.55396,1.12828,0.168425,QB,drafted,181,0.332985,0.448416
agility_missing,-0.694984,0.622038,0.263879,QB,drafted,181,0.332985,0.565454
power_conf,1.56773,0.561121,0.00520736,QB,drafted,181,0.332985,0.048189
final_pass_ypa,0.288805,0.343466,0.400429,QB,drafted,181,0.332985,0.643547
final_pass_td_rate,0.781827,0.320218,0.0146246,QB,drafted,181,0.332985,0.0978872
final_pass_int_rate,0.371441,0.242744,0.125972,QB,drafted,181,0.332985,0.40491
final_pass_cmp_pct,0.183009,0.293533,0.532975,QB,drafted,181,0.332985,0.755398
final_rush_ypg,-0.0847034,0.219772,0.69993,QB,drafted,181,0.332985,0.843823
college_seasons,-0.30995,0.331498,0.349789,QB,drafted,181,0.332985,0.610535
draft_year_c,-0.128288,1.22728,0.916748,QB,drafted,181,0.332985,0.932402
z_height_in,0.181085,0.180396,0.315466,QB,draft_capital,181,0.382602,0.617216
z_weight_lb,0.0852462,0.169484,0.614981,QB,draft_capital,181,0.382602,0.826094
z_forty,0.0681839,0.129337,0.598067,QB,draft_capital,181,0.382602,0.813656
z_vertical,0.0063721,0.17727,0.971326,QB,draft_capital,181,0.382602,0.998035
z_broad,0.0422891,0.183277,0.817518,QB,draft_capital,181,0.382602,0.979558
z_cone,0.166569,0.129177,0.197237,QB,draft_capital,181,0.382602,0.528171
z_shuttle,-0.0892825,0.125971,0.478479,QB,draft_capital,181,0.382602,0.775399
forty_missing,0.634165,0.362781,0.080453,QB,draft_capital,181,0.382602,0.314816
vertical_missing,0.546721,0.498647,0.272899,QB,draft_capital,181,0.382602,0.599048
broad_missing,-0.0457077,0.441384,0.917522,QB,draft_capital,181,0.382602,0.986533
agility_missing,-0.187304,0.322916,0.561889,QB,draft_capital,181,0.382602,0.802699
power_conf,0.787537,0.240959,0.00108177,QB,draft_capital,181,0.382602,0.0129813
final_pass_ypa,0.532438,0.18457,0.0039172,QB,draft_capital,181,0.382602,0.0371104
final_pass_td_rate,0.248013,0.136197,0.0686081,QB,draft_capital,181,0.382602,0.287197
final_pass_int_rate,0.0136963,0.12381,0.911915,QB,draft_capital,181,0.382602,0.986533
final_pass_cmp_pct,-0.013824,0.138687,0.9206,QB,draft_capital,181,0.382602,0.986533
final_rush_ypg,-0.0222417,0.105714,0.833359,QB,draft_capital,181,0.382602,0.980422
college_seasons,-0.529162,0.171873,0.00207834,QB,draft_capital,181,0.382602,0.0220059
draft_year_c,0.570615,0.605158,0.345723,QB,draft_capital,181,0.382602,0.649852
z_height_in,-0.0520568,0.075478,0.490386,RB,log_pick,211,0.368982,0.772647
z_weight_lb,0.238142,0.0885069,0.00713111,RB,log_pick,211,0.368982,0.0824322
z_forty,0.209163,0.0780636,0.00737551,RB,log_pick,211,0.368982,0.0824322
z_bench,-0.0165496,0.0590789,0.77938,RB,log_pick,211,0.368982,0.939431
z_vertical,0.09635,0.119418,0.419766,RB,log_pick,211,0.368982,0.70452
z_broad,-0.0266294,0.121016,0.825833,RB,log_pick,211,0.368982,0.939431
z_cone,-0.0217008,0.104552,0.835573,RB,log_pick,211,0.368982,0.939431
z_shuttle,0.0314726,0.0773759,0.684192,RB,log_pick,211,0.368982,0.912371
forty_missing,-0.302454,0.200262,0.13097,RB,log_pick,211,0.368982,0.423525
bench_missing,0.224133,0.152557,0.141785,RB,log_pick,211,0.368982,0.441624
vertical_missing,-0.309796,0.340424,0.362807,RB,log_pick,211,0.368982,0.667884
broad_missing,0.540607,0.302726,0.074132,RB,log_pick,211,0.368982,0.320115
agility_missing,0.0348997,0.123549,0.777578,RB,log_pick,211,0.368982,0.939431
age_at_draft,-0.253019,0.0624996,5.15834e-05,RB,log_pick,211,0.368982,0.00163347
power_conf,0.253698,0.160793,0.114614,RB,log_pick,211,0.368982,0.404899
final_rush_ypg,0.140178,0.136387,0.304048,RB,log_pick,211,0.368982,0.601762
final_rush_ypc,0.0547505,0.0609577,0.369094,RB,log_pick,211,0.368982,0.667884
