pos_group,group,mean_spearman_drop,se,years_positive,p_value,q_value
QB,size,0.118668,0.0376281,0.777778,0.00201985,0.00614036
QB,speed,0.00617549,0.0154069,0.444444,0.345911,0.41077
QB,explosion,0.000864874,0.0118172,0.518519,0.471108,0.526533
QB,agility,0.0720152,0.0292807,0.666667,0.0104405,0.0226709
QB,skipped_drills,0.0570425,0.0204424,0.703704,0.0048637,0.0127462
QB,school_tier,0.0429427,0.0172694,0.740741,0.00982103,0.0219529
RB,size,0.0948193,0.0161928,0.888889,1.78762e-06,1.35859e-05
RB,speed,0.307676,0.0246329,1,8.58099e-13,3.26078e-11
RB,strength,-0.00361546,0.00346451,0.296296,0.846854,0.893902
RB,explosion,0.0364939,0.0090396,0.851852,0.000212178,0.00100784
RB,agility,0.0131198,0.00857095,0.592593,0.0689568,0.102759
RB,skipped_drills,-0.0113189,0.00560945,0.333333,0.97298,0.992076
RB,school_tier,0.0318767,0.00919764,0.777778,0.0009251,0.0037004
WR,size,0.0124898,0.0117143,0.592593,0.148067,0.194019
WR,speed,0.276123,0.0159563,1,4.34652e-16,3.30335e-14
WR,strength,-0.000528949,0.00332566,0.296296,0.562571,0.619643
WR,explosion,0.008202,0.0110451,0.555556,0.232193,0.294111
WR,agility,0.0139961,0.00803813,0.62963,0.0467339,0.0755697
WR,skipped_drills,0.0242444,0.00729637,0.740741,0.00132638,0.00480023
WR,school_tier,0.0258357,0.0076331,0.740741,0.00113537,0.00431442
TE,size,0.0654125,0.0257558,0.703704,0.00870692,0.0200523
TE,speed,0.264558,0.0365529,1,5.48348e-08,5.20931e-07
TE,strength,0.00836588,0.0128971,0.592593,0.261122,0.316323
TE,explosion,-0.0108666,0.0129065,0.444444,0.796254,0.852328
TE,agility,0.0117174,0.0170213,0.592593,0.24865,0.309793
TE,skipped_drills,-0.0148078,0.00939498,0.518519,0.936458,0.974942
TE,school_tier,0.0165196,0.0102538,0.481481,0.05962,0.0924718
OT,size,0.102719,0.0286699,0.72,0.000750205,0.00316753
OT,speed,0.164395,0.0207664,0.96,1.89961e-08,2.06243e-07
OT,strength,0.0166485,0.00888627,0.56,0.0366127,0.0630245
OT,explosion,0.0425714,0.0186518,0.64,0.0158101,0.0320909
OT,agility,0.0513,0.0159314,0.76,0.00182928,0.00579271
OT,skipped_drills,0.00202191,0.00759864,0.52,0.396222,0.456255
OT,school_tier,0.063579,0.0141639,0.88,7.61955e-05,0.000413633
IOL,size,0.0868049,0.026521,0.62963,0.00150205,0.00496329
IOL,speed,0.11049,0.0205684,0.925926,6.31485e-06,4.36299e-05
IOL,strength,0.00447894,0.0123434,0.37037,0.359821,0.420714
IOL,explosion,0.0455713,0.0170841,0.62963,0.00648908,0.0159087
IOL,agility,0.0804881,0.0178829,0.888889,6.27613e-05,0.000366912
IOL,skipped_drills,-0.00305257,0.00425553,0.481481,0.760214,0.825375
IOL,school_tier,0.0264695,0.0126455,0.666667,0.0231169,0.0428508
EDGE,size,0.097656,0.0196838,0.851852,1.86124e-05,0.000117879
EDGE,speed,0.266252,0.0256808,0.962963,4.97076e-11,9.44445e-10
EDGE,strength,0.00821444,0.00418474,0.666667,0.0302168,0.0546781
EDGE,explosion,0.0185424,0.00970388,0.62963,0.0335566,0.0593094
EDGE,agility,0.0374309,0.00987434,0.740741,0.000402496,0.00179939
EDGE,skipped_drills,0.00570199,0.00554053,0.62963,0.156446,0.201524
EDGE,school_tier,0.0218875,0.00662933,0.666667,0.00139862,0.00483159
IDL,size,0.110551,0.0256687,0.851852,0.00010462,0.000530073
IDL,speed,0.168245,0.0249624,0.925926,1.87714e-07,1.58514e-06
IDL,strength,0.0413319,0.0161603,0.740741,0.00835853,0.0198515
IDL,explosion,0.028039,0.0150968,0.555556,0.0373171,0.0630245
IDL,agility,0.0395354,0.0142469,0.740741,0.00504387,0.0127778
IDL,skipped_drills,-0.012941,0.00501408,0.37037,0.992076,0.992076
IDL,school_tier,0.0146891,0.00935142,0.555556,0.0641617,0.0975258
LB,size,0.0238664,0.0157662,0.703704,0.0710728,0.103876
LB,speed,0.268401,0.0316804,0.962963,2.96821e-09,4.51168e-08
LB,strength,0.0191375,0.011749,0.666667,0.0577007,0.0913595
LB,explosion,0.0164901,0.0140742,0.592593,0.12598,0.170973
LB,agility,0.0365746,0.015393,0.666667,0.0125758,0.0265488
LB,skipped_drills,-0.0175835,0.00744293,0.333333,0.98704,0.992076
LB,school_tier,0.0126838,0.00577002,0.592593,0.0185174,0.0351831
CB,size,0.0377233,0.0166563,0.740741,0.0160454,0.0320909
CB,speed,0.254521,0.0239662,0.962963,2.98552e-11,7.56332e-10
CB,strength,0.0099545,0.00734437,0.62963,0.0934758,0.131559
CB,explosion,0.0162742,0.00728816,0.703704,0.0171878,0.0334942
CB,agility,0.00973075,0.00884323,0.481481,0.140629,0.187506
CB,skipped_drills,0.0126589,0.00720964,0.518519,0.0454464,0.0750853
CB,school_tier,0.0266459,0.00852008,0.740741,0.00215506,0.00629939
S,size,0.0256948,0.0178,0.666667,0.0804064,0.1153
S,speed,0.274678,0.0337672,0.888889,6.461e-09,8.18393e-08
S,strength,0.0158481,0.0131584,0.666667,0.11964,0.165321
S,explosion,0.0336675,0.0116392,0.703704,0.00381308,0.0107331
S,agility,0.0450692,0.0157026,0.740741,0.00402333,0.0109205
S,skipped_drills,0.00107681,0.0100021,0.518519,0.457547,0.519008
S,school_tier,0.00364085,0.00564269,0.62963,0.262215,0.316323
