pos_group,group,mean_spearman_drop,se,years_positive,p_value,q_value
QB,size,0.0635184,0.0421968,0.75,0.080206,0.178812
QB,speed,-0.00144149,0.00873731,0.5,0.564024,0.702557
QB,explosion,-0.00665359,0.0169475,0.583333,0.648942,0.755326
QB,agility,-0.0108396,0.0214745,0.583333,0.68816,0.788054
QB,skipped_drills,0.0254755,0.01601,0.666667,0.0699338,0.16551
QB,school_tier,0.0419933,0.0203523,0.833333,0.0317501,0.107346
QB,production,0.157793,0.0806113,0.666667,0.0380723,0.111538
RB,size,0.0767783,0.0189113,0.916667,0.00094175,0.00748067
RB,speed,0.166381,0.0406407,0.833333,0.000888786,0.00748067
RB,strength,-0.00330357,0.00288579,0.25,0.861699,0.940876
RB,explosion,-0.00797174,0.00769123,0.416667,0.838885,0.930638
RB,agility,0.0100625,0.00669824,0.75,0.0805913,0.178812
RB,skipped_drills,-0.00143944,0.00452551,0.583333,0.621806,0.749669
RB,school_tier,0.0372081,0.0178096,0.666667,0.0303613,0.107346
RB,production,0.267846,0.0480049,0.833333,8.26427e-05,0.00195588
WR,size,0.0133546,0.0107557,0.75,0.120097,0.224392
WR,speed,0.159778,0.0166464,1,5.55933e-07,3.94713e-05
WR,strength,0.000821476,0.00397349,0.5,0.419995,0.573455
WR,explosion,4.03628e-07,0.00405999,0.583333,0.499961,0.645404
WR,agility,0.0391489,0.0136167,0.833333,0.00755185,0.0446818
WR,skipped_drills,0.00715256,0.00575325,0.583333,0.119816,0.224392
WR,school_tier,0.0387794,0.00926575,0.833333,0.000761517,0.00748067
WR,production,0.20757,0.0237187,1,1.37748e-06,4.89005e-05
TE,size,0.0494307,0.0291106,0.583333,0.0587879,0.143929
TE,speed,-0.000959036,0.0249273,0.583333,0.515,0.652947
TE,strength,0.0134907,0.0119974,0.666667,0.142377,0.246556
TE,explosion,0.0247231,0.0304547,0.666667,0.217061,0.350258
TE,agility,0.0481298,0.0415063,0.666667,0.135386,0.240311
TE,skipped_drills,0.00125698,0.0191409,0.416667,0.474409,0.623761
TE,school_tier,0.0195579,0.0208336,0.583333,0.184003,0.303819
TE,production,0.149551,0.0368728,0.833333,0.000948253,0.00748067
EDGE,size,0.134536,0.0337774,0.9,0.00159564,0.0102991
EDGE,speed,0.0651287,0.0232467,0.7,0.0103287,0.0523812
EDGE,strength,-0.00290441,0.0080339,0.4,0.636974,0.753752
EDGE,explosion,0.0757202,0.0381648,0.7,0.0392741,0.111538
EDGE,agility,0.0390097,0.0159183,0.7,0.0183598,0.0869032
EDGE,skipped_drills,0.0105575,0.0195032,0.6,0.300714,0.45427
EDGE,school_tier,0.0202968,0.00881238,0.7,0.0233764,0.0959909
EDGE,production,0.118396,0.0415721,0.7,0.00957618,0.0523007
IDL,size,0.037008,0.0285039,0.727273,0.111655,0.220209
IDL,speed,0.131123,0.0901313,0.818182,0.0881917,0.189746
IDL,strength,0.00170401,0.00767579,0.636364,0.414392,0.573455
IDL,explosion,0.020439,0.0196612,0.545455,0.161514,0.273036
IDL,agility,0.0183454,0.0135423,0.545455,0.102667,0.208267
IDL,skipped_drills,-0.0100984,0.00777949,0.363636,0.8883,0.941333
IDL,school_tier,-0.00210272,0.00145235,0,0.910857,0.947463
IDL,production,0.0764225,0.0388802,0.545455,0.038856,0.111538
LB,size,0.0568561,0.03329,0.583333,0.0578424,0.143929
LB,speed,0.234863,0.0444883,1,0.000130299,0.00231281
LB,strength,-0.0058929,0.00486062,0.25,0.874617,0.940876
LB,explosion,0.0113877,0.0151367,0.75,0.233826,0.368926
LB,agility,0.0316119,0.0144075,0.666667,0.025301,0.0959909
LB,skipped_drills,-0.00772466,0.00437377,0.333333,0.947463,0.947463
LB,school_tier,-0.00255952,0.00451466,0.416667,0.708929,0.798952
LB,production,0.0143448,0.0258954,0.5,0.295348,0.45427
CB,size,0.0359471,0.0261913,0.583333,0.0986248,0.205952
CB,speed,0.15203,0.0357817,0.833333,0.000684216,0.00748067
CB,strength,0.00586709,0.011777,0.5,0.314083,0.464581
CB,explosion,0.0442119,0.0202302,0.75,0.0256877,0.0959909
CB,agility,-0.0138534,0.00785265,0.333333,0.947291,0.947463
CB,skipped_drills,0.00134109,0.00614199,0.583333,0.415578,0.573455
CB,school_tier,0.00402692,0.012045,0.666667,0.372212,0.539327
CB,production,0.0561484,0.0278907,0.75,0.0346122,0.111538
S,size,0.00517371,0.0364055,0.583333,0.44478,0.595837
S,speed,0.185593,0.0465299,0.833333,0.00106347,0.00755067
S,strength,-0.0103682,0.00616299,0.25,0.93968,0.947463
S,explosion,0.0552899,0.024011,0.666667,0.0209167,0.0928181
S,agility,0.0217745,0.0121719,0.666667,0.0505846,0.133019
S,skipped_drills,-0.00895457,0.0278775,0.666667,0.622965,0.749669
S,school_tier,0.00782199,0.00657729,0.5,0.129691,0.236104
S,production,0.0983049,0.0536338,0.833333,0.0469997,0.128345
