feature,coef,std_err,p_value,target,n,q_value
z_height_in,0.042157,0.0140439,0.00268381,log_pick,5499,0.00505796
z_weight_lb,0.1463,0.0151213,3.84647e-22,log_pick,5499,2.09419e-21
z_forty,0.239666,0.0143498,1.27225e-62,log_pick,5499,1.5585e-61
z_bench,0.0284258,0.0113668,0.0123918,log_pick,5499,0.019587
z_vertical,-0.000227469,0.0151573,0.988026,log_pick,5499,0.988026
z_broad,0.097282,0.0165646,4.28308e-09,log_pick,5499,1.39914e-08
z_cone,0.0730217,0.0135814,7.58994e-08,log_pick,5499,2.12576e-07
z_shuttle,0.00324455,0.0138126,0.814288,log_pick,5499,0.906821
forty_missing,0.125226,0.0531067,0.0183731,log_pick,5499,0.0281338
bench_missing,0.108708,0.0275483,7.94387e-05,log_pick,5499,0.000169239
vertical_missing,0.160254,0.0588195,0.00643987,log_pick,5499,0.0112698
broad_missing,0.0348414,0.0580672,0.548494,log_pick,5499,0.689133
agility_missing,0.0121597,0.0291263,0.676327,log_pick,5499,0.808293
age_at_draft,-0.263003,0.0130628,3.73989e-90,log_pick,5499,6.10849e-89
power_conf,0.127988,0.0304283,2.59677e-05,log_pick,5499,5.78371e-05
fbs,0.264015,0.0491511,7.8089e-08,log_pick,5499,2.12576e-07
draft_year_c,-0.188693,0.0187157,6.63098e-24,log_pick,5499,4.64168e-23
z_height_in,0.0267243,0.0291187,0.358739,drafted,8660,0.488283
z_weight_lb,0.379415,0.0326532,3.27868e-31,drafted,8660,2.67759e-30
z_forty,0.721068,0.0326826,7.20499e-108,drafted,8660,1.76522e-106
z_bench,0.137851,0.0271755,3.92335e-07,drafted,8660,1.01181e-06
z_vertical,0.0228741,0.0335577,0.49547,drafted,8660,0.638896
z_broad,0.0937909,0.0360806,0.00933637,drafted,8660,0.0152494
z_cone,0.124977,0.0326019,0.000126374,drafted,8660,0.000258015
z_shuttle,0.153719,0.0326628,2.5233e-06,drafted,8660,5.88769e-06
forty_missing,0.0305838,0.0971124,0.752813,drafted,8660,0.878282
bench_missing,-0.051461,0.0575519,0.371233,drafted,8660,0.491633
vertical_missing,-0.00496129,0.126297,0.968665,drafted,8660,0.988026
broad_missing,-0.0538073,0.123367,0.662723,drafted,8660,0.808293
agility_missing,-0.0184912,0.0648483,0.775532,drafted,8660,0.883746
power_conf,0.310592,0.0641679,1.29642e-06,drafted,8660,3.17623e-06
fbs,0.677953,0.109968,7.04731e-10,drafted,8660,2.46656e-09
draft_year_c,-0.283644,0.0394459,6.4464e-13,drafted,8660,2.63228e-12
z_height_in,0.0255586,0.0113267,0.0240396,draft_capital,8660,0.0356952
z_weight_lb,0.18506,0.012401,2.33275e-50,draft_capital,8660,2.28609e-49
z_forty,0.313837,0.0117706,1.27248e-156,draft_capital,8660,6.23514e-155
z_bench,0.0350929,0.00941574,0.000193737,draft_capital,8660,0.000379724
z_vertical,0.00101085,0.0125074,0.935585,draft_capital,8660,0.975397
z_broad,0.0923333,0.0137439,1.84099e-11,draft_capital,8660,6.93911e-11
z_cone,0.0647457,0.0112447,8.51796e-09,draft_capital,8660,2.60862e-08
z_shuttle,0.0207272,0.0114904,0.0712525,draft_capital,8660,0.102687
forty_missing,0.0537945,0.043644,0.217734,draft_capital,8660,0.304828
bench_missing,0.0634371,0.022546,0.00489781,draft_capital,8660,0.00888862
vertical_missing,0.129899,0.0494595,0.0086303,draft_capital,8660,0.0145822
broad_missing,-0.00485928,0.0489899,0.920988,draft_capital,8660,0.975397
agility_missing,-0.00256441,0.0240065,0.914931,draft_capital,8660,0.975397
power_conf,0.179873,0.0234012,1.5125e-14,draft_capital,8660,6.7375e-14
fbs,0.304316,0.0337293,1.84162e-19,draft_capital,8660,9.02392e-19
draft_year_c,-0.147109,0.0151139,2.17427e-22,draft_capital,8660,1.33174e-21
