pos_group,feature,target,n,spearman_rho,p_value,q_value
QB,z_height_in,log_pick,291,0.157973,0.00693001,0.0119965
QB,z_height_in,draft_capital,476,0.236193,1.853e-07,6.7361e-07
QB,z_weight_lb,log_pick,291,0.158937,0.00658981,0.0114557
QB,z_weight_lb,draft_capital,476,0.17699,0.000103603,0.000249617
QB,z_forty,log_pick,238,0.186204,0.00394223,0.00728341
QB,z_forty,draft_capital,414,0.120506,0.0141483,0.0229492
QB,z_vertical,log_pick,203,0.200502,0.00412736,0.00759139
QB,z_vertical,draft_capital,363,0.175985,0.000757912,0.00159316
QB,z_broad,log_pick,204,0.326335,1.90355e-06,6.22431e-06
QB,z_broad,draft_capital,364,0.183792,0.000424224,0.000937125
QB,z_cone,log_pick,187,0.299719,3.08205e-05,8.24549e-05
QB,z_cone,draft_capital,334,0.219579,5.17861e-05,0.000134188
QB,z_shuttle,log_pick,188,0.146542,0.0447786,0.0619087
QB,z_shuttle,draft_capital,340,0.200585,0.000196958,0.000466361
QB,z_speed_score,log_pick,238,0.253202,7.80837e-05,0.000191491
QB,z_speed_score,draft_capital,413,0.212731,1.3e-05,3.6938e-05
QB,z_bmi,log_pick,291,0.0569345,0.333127,0.382307
QB,z_bmi,draft_capital,476,-0.021692,0.636874,0.68689
QB,athletic_composite,log_pick,248,0.251037,6.39987e-05,0.00015884
QB,athletic_composite,draft_capital,425,0.219191,5.09063e-06,1.58889e-05
QB,drills_skipped,log_pick,291,0.149435,0.0106936,0.0176231
QB,drills_skipped,draft_capital,477,0.239896,1.13729e-07,4.22129e-07
QB,age_at_draft,log_pick,279,-0.351308,1.58861e-09,8.08034e-09
QB,power_conf,log_pick,291,0.149046,0.0109018,0.0178946
QB,power_conf,draft_capital,477,0.223955,7.75962e-07,2.68652e-06
QB,fbs,log_pick,291,0.0806856,0.169843,0.211384
QB,fbs,draft_capital,477,0.194977,1.79945e-05,4.94248e-05
QB,final_pass_ypa,log_pick,121,0.317255,0.000391671,0.000872263
QB,final_pass_ypa,draft_capital,181,0.368261,3.38726e-07,1.21352e-06
QB,final_pass_td_rate,log_pick,121,0.24193,0.00750781,0.0128349
QB,final_pass_td_rate,draft_capital,181,0.319462,1.16754e-05,3.41155e-05
QB,final_pass_int_rate,log_pick,121,0.025518,0.781144,0.806594
QB,final_pass_int_rate,draft_capital,181,0.209461,0.00465564,0.00848727
QB,final_pass_cmp_pct,log_pick,121,0.173576,0.05691,0.0766359
QB,final_pass_cmp_pct,draft_capital,181,0.292266,6.54292e-05,0.000161418
QB,final_rush_ypg,log_pick,121,0.199552,0.0282061,0.0410632
QB,final_rush_ypg,draft_capital,181,0.0219353,0.769446,0.796512
QB,college_seasons,log_pick,121,-0.246273,0.00647012,0.0113434
QB,college_seasons,draft_capital,181,-0.11851,0.112073,0.143229
RB,z_height_in,log_pick,524,0.0098656,0.821746,0.844287
RB,z_height_in,draft_capital,899,0.0670086,0.0445793,0.0618406
RB,z_weight_lb,log_pick,525,-0.00219736,0.959941,0.966982
RB,z_weight_lb,draft_capital,900,0.0597,0.0734365,0.0969739
RB,z_forty,log_pick,493,0.319739,3.51278e-13,2.9536e-12
RB,z_forty,draft_capital,837,0.400685,1.26952e-33,4.75492e-32
RB,z_bench,log_pick,362,0.00365083,0.944813,0.95642
RB,z_bench,draft_capital,630,0.0957934,0.0161657,0.0254209
RB,z_vertical,log_pick,431,0.21342,7.84269e-06,2.37587e-05
RB,z_vertical,draft_capital,734,0.201614,3.59717e-08,1.45298e-07
RB,z_broad,log_pick,420,0.297239,5.15108e-10,2.94756e-09
RB,z_broad,draft_capital,720,0.318695,1.84744e-18,2.71838e-17
RB,z_cone,log_pick,276,0.221774,0.000203996,0.000480266
RB,z_cone,draft_capital,475,0.261871,6.8842e-09,3.33681e-08
RB,z_shuttle,log_pick,283,0.091159,0.126034,0.158795
RB,z_shuttle,draft_capital,493,0.212743,1.87592e-06,6.19336e-06
RB,z_speed_score,log_pick,492,0.367926,3.22771e-17,4.15568e-16
RB,z_speed_score,draft_capital,836,0.480955,1.29984e-49,2.67767e-47
RB,z_bmi,log_pick,524,-0.0211282,0.629418,0.680631
RB,z_bmi,draft_capital,899,0.0146713,0.660439,0.70438
RB,athletic_composite,log_pick,513,0.322849,6.56975e-14,6.01497e-13
RB,athletic_composite,draft_capital,873,0.376058,1.0356e-30,2.84446e-29
RB,drills_skipped,log_pick,526,0.115134,0.00821542,0.0138491
RB,drills_skipped,draft_capital,901,0.0478468,0.151279,0.188869
RB,age_at_draft,log_pick,513,-0.317678,1.71322e-13,1.53445e-12
RB,power_conf,log_pick,526,0.0740931,0.0895843,0.1168
RB,power_conf,draft_capital,901,0.133434,5.87763e-05,0.00014948
RB,fbs,log_pick,526,0.071307,0.102344,0.131768
RB,fbs,draft_capital,901,0.117108,0.00042762,0.000937125
RB,final_rush_ypg,log_pick,211,0.291454,1.69076e-05,4.67513e-05
RB,final_rush_ypg,draft_capital,364,0.381472,4.69962e-14,4.40055e-13
RB,final_rush_ypc,log_pick,209,0.24882,0.000280272,0.000645096
RB,final_rush_ypc,draft_capital,359,0.316918,8.10493e-10,4.51248e-09
RB,final_rush_yds_share,log_pick,211,0.158841,0.0209844,0.0316688
RB,final_rush_yds_share,draft_capital,364,0.334091,6.11003e-11,3.87282e-10
RB,final_rec_ypg,log_pick,211,0.0770405,0.265242,0.310454
RB,final_rec_ypg,draft_capital,364,0.226727,1.25497e-05,3.59062e-05
RB,final_total_td_per_game,log_pick,211,0.363291,5.55659e-08,2.15973e-07
RB,final_total_td_per_game,draft_capital,364,0.373244,1.77994e-13,1.56029e-12
RB,college_seasons,log_pick,211,-0.118189,0.0867866,0.113511
RB,college_seasons,draft_capital,364,-0.116302,0.0264995,0.0389921
WR,z_height_in,log_pick,751,0.0723357,0.0475228,0.065483
WR,z_height_in,draft_capital,1242,-0.0382838,0.177551,0.218361
WR,z_weight_lb,log_pick,751,0.0850811,0.0197038,0.0299556
WR,z_weight_lb,draft_capital,1242,0.00924372,0.744843,0.774938
WR,z_forty,log_pick,708,0.225768,1.2376e-09,6.62197e-09
WR,z_forty,draft_capital,1162,0.425807,2.22618e-52,9.17186e-50
WR,z_bench,log_pick,321,0.150132,0.00704681,0.0121476
